h,r,t,count,source
Employers, not required to follow, HIPAA,1,['Who Is Not Required to Follow These Laws']
Workers compensation carriers, not required to follow, HIPAA,1,['Who Is Not Required to Follow These Laws']
Schools, not required to follow, HIPAA,1,['Who Is Not Required to Follow These Laws']
State agencies, not required to follow, HIPAA,1,['Who Is Not Required to Follow These Laws']
Law enforcement agencies, not required to follow, HIPAA,1,['Who Is Not Required to Follow These Laws']
Municipal offices, not required to follow, HIPAA,1,['Who Is Not Required to Follow These Laws']
Patient, have in medical record, Information,1,['What Information Is Protected']
Conversations your doctor has about your care, is protected by, HIPAA,1,['What Information Is Protected']
Information about you in your health insurer’s computer, is protected by, HIPAA,1,['What Information Is Protected']
Billing information at clinic, is protected by, HIPAA,1,['What Information Is Protected']
Covered entities, put in place, safeguards,1,['How This Information Is Protected?']
Covered entities, ensure, not use or disclose improperly,1,['How This Information Is Protected?']
Covered entities, reasonably limit, uses and disclosures,1,['How This Information Is Protected?']
Covered entities, limit, who can view and access,1,['How This Information Is Protected?']
Covered entities, implement, training programs,1,['How This Information Is Protected?']
Business associates, put in place, safeguards,1,['How This Information Is Protected?']
Business associates, ensure, not use or disclose improperly,1,['How This Information Is Protected?']
Health insurers, comply with, right to ask to see and get a copy of your health records,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Providers, comply with, right to ask to see and get a copy of your health records,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Covered entities, comply with, right to ask to see and get a copy of your health records,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Health insurers, comply with, right to have corrections added to your health information,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Providers, comply with, right to have corrections added to your health information,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Covered entities, comply with, right to have corrections added to your health information,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Health insurers, comply with, right to receive a notice that tells you how your health information may be used and shared,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Providers, comply with, right to receive a notice that tells you how your health information may be used and shared,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Covered entities, comply with, right to receive a notice that tells you how your health information may be used and shared,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Health insurers, comply with, right to request that a covered entity restrict how it uses or discloses your health information,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Providers, comply with, right to request that a covered entity restrict how it uses or discloses your health information,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Covered entities, comply with, right to request that a covered entity restrict how it uses or discloses your health information,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Health insurers, comply with, right to get a report on when and why your health information was shared for certain purposes,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Providers, comply with, right to get a report on when and why your health information was shared for certain purposes,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Covered entities, comply with, right to get a report on when and why your health information was shared for certain purposes,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
You, can file, complaint with your provider or health insurer,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
You, can file, complaint with HHS,1,['What Rights Does the Privacy Rule Give Me over My Health Information?']
Privacy Rule, sets rules and limits on, who can look at and receive your health information,1,['Who Can Look at and Receive Your Health Information?']
Your health information, can be used and shared, for your treatment and care coordination,1,['Who Can Look at and Receive Your Health Information?']
Your health information, can be used and shared, to pay doctors and hospitals for your health care and to help run their businesses,1,['Who Can Look at and Receive Your Health Information?']
Your health information, can be used and shared, with your family/relatives/friends/others you identify who are involved with your health care/health care bills without objection,1,['Who Can Look at and Receive Your Health Information?']
Healthcare providers, electronically transmits, health information,1,['Covered Entities']
Healthcare providers, subject to, Privacy Rule,1,['Covered Entities']
Healthcare providers, perform, transactions,1,['Covered Entities']
HHS, established standards, HIPAA Transactions Rule,2,"['Covered Entities', 'Who is Covered by the Privacy Rule']"
Health plans, subject to, Privacy Rule,1,['Covered Entities']
Health plans, include, various types of insurers,1,['Covered Entities']
Health maintenance organizations (HMOs), subject to, Health plans,1,['Covered Entities']
Employer-sponsored group health plans, subject to, Health plans,1,['Covered Entities']
Government- and church-sponsored health plans, subject to, Health plans,1,['Covered Entities']
Multi-employer health plans, subject to, Health plans,1,['Covered Entities']
Long-term care insurers, subject to, Health plans,1,['Covered Entities']
Healthcare clearinghouses, subject to, Privacy Rule,1,['Covered Entities']
Healthcare clearinghouses, process, nonstandard information,1,['Covered Entities']
Healthcare clearinghouses, receive, individually identifiable health information,1,['Covered Entities']
Healthcare clearinghouses, provide services to, health plans and healthcare providers,1,['Covered Entities']
Business associates, subject to, Privacy Rule,1,['Covered Entities']
Business associates, use or disclose, individually identifiable health information,1,['Covered Entities']
Business associates, provide services to, covered entity,1,['Covered Entities']
Covered Entity, uses, PHI,1,['Permitted Uses and Disclosures']
Covered Entity, discloses, PHI,1,['Permitted Uses and Disclosures']
Covered Entity, must disclose, Individual,1,['Permitted Uses and Disclosures']
Covered Entity, uses, Treatment,1,['Permitted Uses and Disclosures']
Covered Entity, uses, Payment,1,['Permitted Uses and Disclosures']
Covered Entity, uses, Healthcare Operations,1,['Permitted Uses and Disclosures']
Covered Entity, can obtain, Informal permission,1,['Permitted Uses and Disclosures']
Individual, can agree or object to, Disclosure of PHI,1,['Permitted Uses and Disclosures']
Covered Entity, uses, Limited Dataset,1,['Permitted Uses and Disclosures']
Covered Entity, uses, Research,1,['Permitted Uses and Disclosures']
Covered Entity, uses, Public Interest and Benefit Activities,1,['Permitted Uses and Disclosures']
Law, requires, PHI disclosure,1,['Permitted Uses and Disclosures']
Covered Entity, discloses PHI for, Public Health Activities,1,['Permitted Uses and Disclosures']
Covered Entity, discloses PHI for, Victims of Abuse or Neglect or Domestic Violence,1,['Permitted Uses and Disclosures']
Covered Entity, discloses PHI for, Health Oversight Activities,1,['Permitted Uses and Disclosures']
Covered Entity, discloses PHI for, Judicial and Administrative Proceedings,1,['Permitted Uses and Disclosures']
Covered Entity, discloses PHI for, Law Enforcement,1,['Permitted Uses and Disclosures']
Covered Entity, discloses PHI for, Functions Concerning Deceased Persons,1,['Permitted Uses and Disclosures']
Covered Entity, discloses PHI for, Cadaveric Organ/ Eye/Tissue Donation,1,['Permitted Uses and Disclosures']
Covered Entity, discloses PHI for, Research Under Certain Conditions,1,['Permitted Uses and Disclosures']
Covered Entity, discloses PHI to, Prevent or Lessen a Serious Threat to Health or Safety,1,['Permitted Uses and Disclosures']
Covered Entity, discloses, PHI for Essential Government Functions,1,['Permitted Uses and Disclosures']
Covered Entity, discloses, PHI for Workers' Compensation,1,['Permitted Uses and Disclosures']
you, has right to, inspect/review/receive copy of medical and billing records,1,['Your Medical Records']
you, has right to access, your records,1,['Your Medical Records']
health care provider/health plan, may send copies of records, to another provider/health plan as needed,1,['Your Medical Records']
Privacy Rule, does not require, sharing information with other providers or plans,1,['Your Medical Records']
HIPAA, gives you, right to access medical record and keep information private,1,['Your Medical Records']
provider, cannot deny you copy of records, because of unpaid services,1,['Your Medical Records']
provider, may charge, reasonable costs for copying and mailing records,1,['Your Medical Records']
provider, cannot charge, fee for searching for or retrieving records,1,['Your Medical Records']
you, do not have right to access, provider’s psychotherapy notes,1,['Your Medical Records']
psychotherapy notes, kept separate from, patient's medical and billing records,1,['Your Medical Records']
HIPAA, does not allow provider, to make most disclosures about psychotherapy notes without your authorization,1,['Your Medical Records']
you, can request a change/amendment, to your medical or billing record,1,['Your Medical Records']
Privacy Rule, controls, how a health plan or a covered health care provider shares your protected health information with an employer,1,['Employers and Health Information in the Workplace']
Privacy Rule, does not apply to, the actions of an employer,1,['Employers and Health Information in the Workplace']
Privacy Rule, does not protect, employment records,1,['Employers and Health Information in the Workplace']
Privacy Rule, does protect, medical or health plan records,1,['Employers and Health Information in the Workplace']
health plan, does not apply, to your employment records,1,['Employers and Health Information in the Workplace']
covered health care provider, does not apply, to your employment records,1,['Employers and Health Information in the Workplace']
Rule, does protect, your medical or health plan records if you are a patient of the provider or a member of the health plan,1,['Employers and Health Information in the Workplace']
employer, can ask, you for a doctor’s note or other health information if they need the information for sick leave/workers’ compensation/wellness programs/health insurance,1,['Employers and Health Information in the Workplace']
health care provider, cannot give, your employer the information without your authorization unless other laws require them to do so,1,['Employers and Health Information in the Workplace']
Privacy Rule, applies to, the disclosures made by your health care provider,1,['Employers and Health Information in the Workplace']
Privacy Rule, does not apply to, the questions your employer may ask,1,['Employers and Health Information in the Workplace']
HIPAA, covered, health care provider,2,"['Personal Representatives', 'Court Orders and Subpoenas']"
HIPAA, covered, health plan,2,"['Personal Representatives', 'Court Orders and Subpoenas']"
health care provider, maintain, protected health information,1,['Personal Representatives']
health plan, maintain, protected health information,1,['Personal Representatives']
personal representative, inspect, protected health information,1,['Personal Representatives']
personal representative, receive, protected health information,1,['Personal Representatives']
Personal Representative, can be named, several ways,1,['Personal Representatives']
State Law, may affect, the process,1,['Personal Representatives']
Person, can make, health care decisions for you using a health care power of attorney,1,['Personal Representatives']
Children, personal representative, usually the child's parent or legal guardian,1,['Personal Representatives']
State Laws, may affect, guardianship,1,['Personal Representatives']
Custody Decree, personal representative, parent(s) who can make health care decisions for the child under the custody decree,1,['Personal Representatives']
Deceased Individual, personal representative, executor or administrator of the deceased individual's estate or the person who is legally authorized by a court or by state law to act on the behalf of the deceased individual or his or her estate,1,['Personal Representatives']
Provider or Plan, may choose not to treat, a person as your personal representative,1,['Personal Representatives']
Provider or Plan, reasonably believes, that the person might endanger you in situations of domestic violence/abuse/neglect,1,['Personal Representatives']
health care provider or health plan, can share, information with family or friends,1,['Family Members and Friends']
family or friends, involved in, your health care or payment for your health care,1,['Family Members and Friends']
you, tell, provider or plan that it can share information with family or friends,1,['Family Members and Friends']
you, do not object to, sharing of the information,1,['Family Members and Friends']
provider or plan, believes, you do not object,1,['Family Members and Friends']
doctor, could talk with, friend who goes with you to the hospital or with a family member who pays your medical bill,1,['Family Members and Friends']
pharmacist, can assume, you do not object to your friend being given the medication,1,['Family Members and Friends']
provider, may share information with, people if it seems like this would be in your best interest,1,['Family Members and Friends']
health care provider, share, protected health information,1,['Court Orders and Subpoenas']
health plan, share, protected health information,1,['Court Orders and Subpoenas']
health care provider, disclose, information,1,['Court Orders and Subpoenas']
health plan, disclose, information,1,['Court Orders and Subpoenas']
provider or plan, disclose, information,1,['Court Orders and Subpoenas']
court order, include, order of an administrative tribunal,1,['Court Orders and Subpoenas']
provider or plan, only disclose, information specifically described in the order,1,['Court Orders and Subpoenas']
subpoena, issued by, court clerk or an attorney in a case,1,['Court Orders and Subpoenas']
HIPAA-covered provider or plan, disclose, information,1,['Court Orders and Subpoenas']
notification requirements, met, before responding to the subpoena,1,['Court Orders and Subpoenas']
person who is the subject of the information, have, chance to object to disclosure,1,['Court Orders and Subpoenas']
health care provider, must give, notice,1,['Notice of Privacy Practices']
notice, includes, health privacy rights,1,['Notice of Privacy Practices']
notice, includes, how they may use and share your health information,1,['Notice of Privacy Practices']
you, should receive, notice on your first visit to a provider or in the mail from your health plan,1,['Notice of Privacy Practices']
you, can ask for, a copy of the notice at any time,1,['Notice of Privacy Practices']
doctor/hospital/health care provider, must ask, you to state in writing that you received the notice,1,['Notice of Privacy Practices']
law, requires, doctor/hospital/health care provider to ask you to state in writing that you received the notice,1,['Notice of Privacy Practices']
you, are not required, to sign the “acknowledgement of receipt of the notice”,1,['Notice of Privacy Practices']
signing, does not mean, you have agreed to any special uses or disclosures of your health records,1,['Notice of Privacy Practices']
refusing to sign the acknowledgement, does not prevent, provider/plan from using or disclosing health information as HIPAA permits,1,['Notice of Privacy Practices']
provider, must keep, a record of the fact if you refuse to sign the acknowledgement,1,['Notice of Privacy Practices']
notice, must describe, how the Privacy Rule allows provider to use and disclose protected health information,1,['Notice of Privacy Practices']
notice, must explain, that your permission is necessary before your health records are shared for any other reason,1,['Notice of Privacy Practices']
notice, must describe, organization’s duties to protect health information privacy,1,['Notice of Privacy Practices']
notice, must describe, how to contact the organization for more information and to make a complaint,1,['Notice of Privacy Practices']
you, usually receive, notice at your first appointment,1,['Notice of Privacy Practices']
you, should receive, notice as soon as possible after the emergency in case of an emergency,1,['Notice of Privacy Practices']
notice, must be posted, in a clear and easy to find location where patients are able to see it,1,['Notice of Privacy Practices']
copy of the notice, must be provided, to anyone who asks for one,1,['Notice of Privacy Practices']
organization, must post, the notice on their website if they have one,1,['Notice of Privacy Practices']
health plan, must give, its notice to you at enrollment,1,['Notice of Privacy Practices']
health plan, must send, a reminder at least once every three years that you can ask for the notice at any time,1,['Notice of Privacy Practices']
health plan, can give, the notice to the “named insured”,1,['Notice of Privacy Practices']
health plan, is not required, to give separate notices to spouses and dependents,1,['Notice of Privacy Practices']
you, have, right,1,['Get it. Check it. Use it.']
doctor, provide, copy of your information,1,['Get it. Check it. Use it.']
doctor, provide, information much sooner,1,['Get it. Check it. Use it.']
doctor, offer, web portal,1,['Get it. Check it. Use it.']
you, view, health information,1,['Get it. Check it. Use it.']
you, download, health information,1,['Get it. Check it. Use it.']
doctor, deny access, for not paying medical bill,1,['Get it. Check it. Use it.']
doctor, charge, reasonable fee,1,['Get it. Check it. Use it.']
you, check, health information,1,['Get it. Check it. Use it.']
doctor, fix, disagreement,1,['Get it. Check it. Use it.']
you, request, doctor share your information,1,['Get it. Check it. Use it.']
Personal Representatives, include, family members,1,['Get it. Check it. Use it.']
Personal Representatives, include, caregiver,1,['Get it. Check it. Use it.']
Personal Representatives, include, mobile application,1,['Get it. Check it. Use it.']
Personal Representatives, include, researcher,1,['Get it. Check it. Use it.']
Privacy Rule, applies to, health plans,1,['Who is Covered by the Privacy Rule']
Privacy Rule, applies to, health care clearinghouses,1,['Who is Covered by the Privacy Rule']
Privacy Rule, applies to, health care provider,1,['Who is Covered by the Privacy Rule']
health plans, provide or pay, medical care,1,['Who is Covered by the Privacy Rule']
health plans, include, dental insurance,1,['Who is Covered by the Privacy Rule']
health plans, include, vision insurance,1,['Who is Covered by the Privacy Rule']
health plans, include, prescription drug insurers,1,['Who is Covered by the Privacy Rule']
health plans, include, HMOs,1,['Who is Covered by the Privacy Rule']
health plans, include, Medicare,1,['Who is Covered by the Privacy Rule']
health plans, include, Medicaid,1,['Who is Covered by the Privacy Rule']
health plans, include, Medicare+Choice,1,['Who is Covered by the Privacy Rule']
health plans, include, Medicare supplement insurers,1,['Who is Covered by the Privacy Rule']
health plans, include, long-term care insurers,1,['Who is Covered by the Privacy Rule']
health plans, exclude, nursing home fixed-indemnity policies,1,['Who is Covered by the Privacy Rule']
health plans, include, employer-sponsored group health plans,1,['Who is Covered by the Privacy Rule']
health plans, include, government-sponsored health plans,1,['Who is Covered by the Privacy Rule']
health plans, include, church-sponsored health plans,1,['Who is Covered by the Privacy Rule']
health plans, include, multi-employer health plans,1,['Who is Covered by the Privacy Rule']
government-funded programs, not, health plans,1,['Who is Covered by the Privacy Rule']
food stamps program, not, health plans,1,['Who is Covered by the Privacy Rule']
community health center, not, health plans,1,['Who is Covered by the Privacy Rule']
certain insurance entities, not, health plans,1,['Who is Covered by the Privacy Rule']
certain insurance entities, include, workers' compensation,1,['Who is Covered by the Privacy Rule']
certain insurance entities, include, automobile insurance,1,['Who is Covered by the Privacy Rule']
certain insurance entities, include, property and casualty insurance,1,['Who is Covered by the Privacy Rule']
health care providers, are, covered entities,1,['Who is Covered by the Privacy Rule']
health care provider, electronically transmits, health information,1,['Who is Covered by the Privacy Rule']
health care provider, includes, institutional providers,1,['Who is Covered by the Privacy Rule']
institutional providers, includes, hospitals,1,['Who is Covered by the Privacy Rule']
health care provider, includes, non-institutional providers,1,['Who is Covered by the Privacy Rule']
non-institutional providers, includes, physicians,1,['Who is Covered by the Privacy Rule']
non-institutional providers, includes, dentists,1,['Who is Covered by the Privacy Rule']
non-institutional providers, includes, other practitioners,1,['Who is Covered by the Privacy Rule']
health care provider, includes, any other person or organization that furnishes/bills/is paid for health care,1,['Who is Covered by the Privacy Rule']
health care clearinghouse, processes, nonstandard information into standard format or data content,1,['Who is Covered by the Privacy Rule']
health care clearinghouse, receives, individually identifiable health information when providing processing services to a health plan or health care provider,1,['Who is Covered by the Privacy Rule']
health care clearinghouse, includes, billing services,1,['Who is Covered by the Privacy Rule']
health care clearinghouse, includes, repricing companies,1,['Who is Covered by the Privacy Rule']
health care clearinghouse, includes, community health management information systems,1,['Who is Covered by the Privacy Rule']
health care clearinghouse, includes, value-added networks and switches if performing clearinghouse functions,1,['Who is Covered by the Privacy Rule']
Business associate, performs, functions/activities,1,['Business Associates']
Business associate, provides, services,1,['Business Associates']
Covered entity, can be, business associate of another covered entity,1,['Business Associates']
Covered entity, uses, contractor/non-workforce member,1,['Business Associates']
Covered entity, requires, certain protections for information in a business associate agreement,1,['Business Associates']
Covered entity, imposes, written safeguards on individually identifiable health information used or disclosed by business associates,1,['Business Associates']
Covered entity, may not contractually authorize, business associate to violate the Rule,1,['Business Associates']
Governmental entities, may use, alternative means to achieve the same protections,1,['Business Associates']
Covered entities, permitted, continue to operate under existing written contract/agreement until renewed or modified,1,['Business Associates']
Business associate, uses/discloses, protected health information,1,['Business Associates']
Privacy Rule, protects, individually identifiable health information,1,['What Information is Protected']
covered entity, holds/transmits, individually identifiable health information,1,['What Information is Protected']
business associate, holds/transmits, individually identifiable health information,1,['What Information is Protected']
individually identifiable health information, is called, protected health information (PHI,1,['What Information is Protected']
individually identifiable health information, relates to, individual's past physical or mental health or condition,1,['What Information is Protected']
individually identifiable health information, relates to, individual's present physical or mental health or condition,1,['What Information is Protected']
individually identifiable health information, relates to, individual's future physical or mental health or condition,1,['What Information is Protected']
individually identifiable health information, relates to, provision of health care to the individual,1,['What Information is Protected']
individually identifiable health information, identifies, the individual,1,['What Information is Protected']
common identifiers, includes, name,1,['What Information is Protected']
common identifiers, includes, address,1,['What Information is Protected']
common identifiers, includes, birth date,1,['What Information is Protected']
common identifiers, includes, Social Security Number,1,['What Information is Protected']
Privacy Rule, excludes, employment records,1,['What Information is Protected']
Privacy Rule, excludes, education and certain other records defined in the Family Educational Rights and Privacy Act,1,['What Information is Protected']
de-identified health information, has no restrictions on, use or disclosure,1,['What Information is Protected']
de-identified health information, neither identifies nor provides a reasonable basis to identify, an individual,1,['What Information is Protected']
de-identified health information, not includes, individual's relatives,1,['What Information is Protected']
de-identified health information, not includes, household members,1,['What Information is Protected']
de-identified health information, not includes, employer,1,['What Information is Protected']
individual's personal representative, authorizes, use or disclosure of protected health information,1,['General Principle for Uses and Disclosures']
covered entity, may not use or disclose, protected health information,1,['General Principle for Uses and Disclosures']
covered entity, must disclose PHI to, individual self,1,['General Principle for Uses and Disclosures']
covered entity, must disclose PHI to, personal representative of individual,1,['General Principle for Uses and Disclosures']
covered entity, must disclose PHI to, HHS,1,['General Principle for Uses and Disclosures']
covered entity, use and disclose, protected health information,1,['Permitted Uses and Disclosures']
individual, be subject of, protected health information,1,['Permitted Uses and Disclosures']
covered entity, use, protected health information,2,"['Permitted Uses and Disclosures', 'Permitted Uses and Disclosures']"
covered entity, disclose, protected health information,2,"['Permitted Uses and Disclosures', 'Permitted Uses and Disclosures']"
health care provider, use and disclose, protected health information,1,['Permitted Uses and Disclosures']
health care provider, use, protected health information,1,['Permitted Uses and Disclosures']
health care provider, refer, patient,1,['Permitted Uses and Disclosures']
health plan, obtain, premiums,1,['Permitted Uses and Disclosures']
health plan, determine, responsibilities for coverage,1,['Permitted Uses and Disclosures']
health plan, furnish, reimbursement for health care,1,['Permitted Uses and Disclosures']
health care provider, obtain, payment,1,['Permitted Uses and Disclosures']
health care provider, be reimbursed for, provision of health care,1,['Permitted Uses and Disclosures']
health care operations, include, quality assessment and improvement activities,1,['Permitted Uses and Disclosures']
health care operations, include, conducting medical reviews,1,['Permitted Uses and Disclosures']
health care operations, include, business planning,1,['Permitted Uses and Disclosures']
health care operations, include, de-identifying protected health information,1,['Permitted Uses and Disclosures']
health care operations, require, authorization,1,['Permitted Uses and Disclosures']
individual, give opportunity to agree, uses and disclosures,1,['Permitted Uses and Disclosures']
covered entity, determine, use or disclosure is in best interests of individual,1,['Permitted Uses and Disclosures']
covered health care provider, rely on, individual's informal permission,1,['Permitted Uses and Disclosures']
pharmacist, dispense, filled prescriptions,1,['Permitted Uses and Disclosures']
covered entity, use, protected health information for notification purposes,1,['Permitted Uses and Disclosures']
covered entity, disclose, protected health information for notification purposes,1,['Permitted Uses and Disclosures']
covered entity, adopt, reasonable safeguards,1,['Permitted Uses and Disclosures']
covered entity, may use/disclose, psychotherapy notes for its own training,1,['Limiting Uses and Disclosures to the Minimum Necessary']
covered entity, may use/disclose, psychotherapy notes to defend itself in legal proceedings,1,['Limiting Uses and Disclosures to the Minimum Necessary']
covered entity, may use/disclose, psychotherapy notes for HHS to investigate,1,['Limiting Uses and Disclosures to the Minimum Necessary']
covered entity, may use/disclose, psychotherapy notes to avert a serious and imminent threat to public health or safety,1,['Limiting Uses and Disclosures to the Minimum Necessary']
covered entity, may use/disclose, psychotherapy notes to a health oversight agency,1,['Limiting Uses and Disclosures to the Minimum Necessary']
covered entity, may use/disclose, psychotherapy notes for lawful activities of a coroner or medical examiner,1,['Limiting Uses and Disclosures to the Minimum Necessary']
Privacy Rule, carves out, certain health-related activities from definition of marketing,1,['Limiting Uses and Disclosures to the Minimum Necessary']
covered entity, must obtain, individual's authorization for marketing,1,['Limiting Uses and Disclosures to the Minimum Necessary']
covered entity, must obtain, authorization to disclose protected health information for marketing,1,['Limiting Uses and Disclosures to the Minimum Necessary']
authorization, not needed, for communication that falls within exceptions to marketing definition,1,['Limiting Uses and Disclosures to the Minimum Necessary']
Covered entity, provide, notice of privacy practices,1,['Notice and Other Individual Rights']
Notice, contain, certain elements,1,['Notice and Other Individual Rights']
Notice, describe, ways in which covered entity may use and disclose protected health information,1,['Notice and Other Individual Rights']
Notice, state, covered entity's duties to protect privacy,1,['Notice and Other Individual Rights']
Notice, describe, individuals' rights,1,['Notice and Other Individual Rights']
Notice, include, point of contact for further information,1,['Notice and Other Individual Rights']
Covered entities, act in accordance with, notices,1,['Notice and Other Individual Rights']
Direct treatment provider, deliver, privacy practices notice to patients,1,['Notice and Other Individual Rights']
Covered entities, supply, notice to anyone on request,1,['Notice and Other Individual Rights']
Organized health care arrangement, use, joint privacy practices notice,1,['Notice and Other Individual Rights']
Health plan, distribute, privacy practices notice to each of its enrollees,1,['Notice and Other Individual Rights']
Direct treatment provider, obtain, written acknowledgement from patients of receipt of the privacy practices notice,1,['Notice and Other Individual Rights']
Individuals, have the right to, review and obtain a copy of their protected health information in a covered entity's designated record set,1,['Notice and Other Individual Rights']
Individuals, have the right to, have covered entities amend their protected health information in a designated record set,1,['Notice and Other Individual Rights']
Individuals, have the right to, an accounting of the disclosures of their protected health information by a covered entity or the covered entity's business associates,1,['Notice and Other Individual Rights']
HHS, recognizes, covered entities,1,['Administrative Requirements']
covered entity, develop and implement, written privacy policies and procedures,1,['Administrative Requirements']
covered entity, designate, privacy official,1,['Administrative Requirements']
privacy official, responsible for, privacy policies and procedures,1,['Administrative Requirements']
covered entity, designate, contact person,1,['Administrative Requirements']
covered entity, designate, contact office,1,['Administrative Requirements']
contact person, responsible for, complaints,1,['Administrative Requirements']
contact person, responsible for, providing privacy practices,1,['Administrative Requirements']
contact office, responsible for, complaints,1,['Administrative Requirements']
contact office, responsible for, providing privacy practices,1,['Administrative Requirements']
workforce members, include, employees,1,['Administrative Requirements']
workforce members, include, volunteers,1,['Administrative Requirements']
workforce members, include, trainees,1,['Administrative Requirements']
workforce members, include, persons whose conduct is under the direct control of the entity,1,['Administrative Requirements']
covered entity, must train, all workforce members on its privacy policies and procedures,1,['Administrative Requirements']
covered entity, must have, procedures for individuals to complain about its compliance with its privacy policies and procedures and the Privacy Rule,1,['Administrative Requirements']
covered entity, must identify, to whom individuals can submit complaints to at the covered entity,1,['Administrative Requirements']
covered entity, must advise, that complaints also can be submitted to the Secretary of HHS,1,['Administrative Requirements']
Privacy Rule, permits, hybrid entity,1,['Organizational Options']
Privacy Rule, contains, provisions,1,['Organizational Options']
covered entity, conducts, covered and non-covered functions,1,['Organizational Options']
covered entity, elects, hybrid entity,1,['Organizational Options']
covered entity, designates, health care components,1,['Organizational Options']
Privacy Rule, applies to, health care components,1,['Organizational Options']
covered entity, subject to, Privacy Rule,1,['Organizational Options']
organized health care arrangement, shares, protected health information,1,['Organizational Options']
organized health care arrangement, manages and benefits, common enterprise,1,['Organizational Options']
covered entity, may not use or disclose, protected health information of an individual,1,['Organizational Options']
group health plan, may disclose, protected health information to plan sponsor,1,['Organizational Options']
health insurer, may disclose, protected health information to plan sponsor,1,['Organizational Options']
plan sponsor, sponsors and maintains, group health plan,1,['Organizational Options']
plan sponsor, requests, summary health information,1,['Organizational Options']
plan sponsor, receives, certification from the plan,1,['Organizational Options']
plan sponsor, imposes restrictions on use and disclosure, protected health information,1,['Organizational Options']
Privacy Rule, requires, covered entity,1,['Other Provisions: Personal Representatives and Minors']
personal representative, authorized to make, health care decisions on an individual's behalf,1,['Other Provisions: Personal Representatives and Minors']
personal representative, act for, deceased individual or estate,1,['Other Provisions: Personal Representatives and Minors']
Privacy Rule, permits, exception,1,['Other Provisions: Personal Representatives and Minors']
personal representative, may abuse, individual,1,['Other Provisions: Personal Representatives and Minors']
personal representative, may neglect, individual,1,['Other Provisions: Personal Representatives and Minors']
parents, are personal representatives for, their minor children,1,['Other Provisions: Personal Representatives and Minors']
Privacy Rule, defers to, State and other law,1,['Other Provisions: Personal Representatives and Minors']
State and other law, determine, rights of parents to access and control protected health information of their minor children,1,['Other Provisions: Personal Representatives and Minors']
covered entity, has discretion to provide or deny, parent access to minor's health information,1,['Other Provisions: Personal Representatives and Minors']
Privacy Rule, preempts, State laws,1,['State Law']
